establishment_type,severity,inspection_date
Restaurant,S - Significant,2022-10-27
Restaurant,S - Significant,2022-07-05
Restaurant,S - Significant,2022-07-05
Restaurant,S - Significant,2022-07-05
Restaurant,S - Significant,2022-07-05
Restaurant,S - Significant,2022-07-05
Restaurant,S - Significant,2022-07-05
Restaurant,C - Crucial,2022-07-05
Restaurant,S - Significant,2022-07-05
Restaurant,S - Significant,2023-02-21
Restaurant,S - Significant,2022-10-05
Restaurant,S - Significant,2022-10-05
Restaurant,S - Significant,2022-12-07
Restaurant,S - Significant,2022-12-07
Restaurant,S - Significant,2023-10-11
Restaurant,S - Significant,2023-10-11
Restaurant,S - Significant,2023-03-06
Restaurant,S - Significant,2022-06-23
Restaurant,S - Significant,2023-01-27
Restaurant,S - Significant,2023-07-07
Restaurant,S - Significant,2023-11-15
Restaurant,S - Significant,2023-06-29
Restaurant,S - Significant,2022-12-16
Restaurant,S - Significant,2022-12-16
Restaurant,S - Significant,2022-12-16
Restaurant,S - Significant,2023-08-10
Food Take Out,C - Crucial,2022-11-09
Food Take Out,C - Crucial,2022-11-09
Food Take Out,S - Significant,2022-11-09
Food Take Out,C - Crucial,2022-11-09
Food Take Out,S - Significant,2023-03-17
Food Take Out,S - Significant,2023-03-17
Food Take Out,S - Significant,2023-08-24
Food Take Out,S - Significant,2023-12-15
Restaurant,S - Significant,2022-12-22
Food Take Out,S - Significant,2022-12-15
Food Take Out,S - Significant,2022-12-15
Food Take Out,S - Significant,2022-12-15
Food Take Out,S - Significant,2023-05-23
Food Take Out,S - Significant,2023-05-23
Food Take Out,S - Significant,2023-05-23
Restaurant,S - Significant,2023-09-01
Restaurant,S - Significant,2023-10-10
Restaurant,S - Significant,2022-03-03
Restaurant,S - Significant,2022-03-03
Restaurant,S - Significant,2023-04-14
Restaurant,S - Significant,2023-04-14
Restaurant,S - Significant,2023-08-30
Restaurant,C - Crucial,2022-11-09
Restaurant,S - Significant,2022-11-09
Restaurant,S - Significant,2023-11-30
Restaurant,S - Significant,2023-11-30
Food Take Out,S - Significant,2022-08-29
Restaurant,S - Significant,2022-06-10
Restaurant,S - Significant,2023-05-30
Restaurant,S - Significant,2022-07-06
Restaurant,S - Significant,2022-07-06
Food Take Out,S - Significant,2022-07-06
Food Take Out,C - Crucial,2023-02-16
Food Take Out,S - Significant,2023-02-16
Food Store (Convenience/Variety),S - Significant,2022-11-01
Food Store (Convenience/Variety),S - Significant,2023-08-02
Food Take Out,S - Significant,2023-06-20
Food Store (Convenience/Variety),S - Significant,2023-06-26
Food Store (Convenience/Variety),S - Significant,2023-08-25
Bakery,S - Significant,2023-06-02
Bakery,S - Significant,2023-06-02
Restaurant,S - Significant,2023-12-12
Food Take Out,S - Significant,2023-10-26
Food Take Out,S - Significant,2023-10-26
Food Take Out,S - Significant,2023-10-26
Food Take Out,S - Significant,2023-11-20
Food Take Out,S - Significant,2023-11-29
Food Take Out,C - Crucial,2023-11-29
Food Take Out,S - Significant,2023-11-29
Fish Shop,C - Crucial,2022-06-22
Fish Shop,S - Significant,2022-06-22
Fish Shop,S - Significant,2022-06-22
Fish Shop,C - Crucial,2022-06-22
Fish Shop,S - Significant,2023-02-13
Restaurant,S - Significant,2022-09-28
Restaurant,S - Significant,2022-10-12
Restaurant,C - Crucial,2022-10-12
Restaurant,C - Crucial,2022-10-12
Restaurant,S - Significant,2023-03-10
Restaurant,S - Significant,2023-05-16
Restaurant,S - Significant,2023-09-21
Food Caterer,S - Significant,2022-07-29
Food Take Out,S - Significant,2023-07-12
Food Caterer,S - Significant,2023-03-09
Food Depot,S - Significant,2022-09-02
Food Depot,S - Significant,2022-09-02
Food Depot,S - Significant,2022-09-02
Refreshment Stand (Stationary),S - Significant,2023-08-31
Refreshment Stand (Stationary),S - Significant,2023-08-31
Cocktail Bar / Beverage Room,S - Significant,2023-06-30
Cocktail Bar / Beverage Room,S - Significant,2023-12-06
Restaurant,S - Significant,2023-05-09
Food Take Out,S - Significant,2023-04-28
Restaurant,S - Significant,2022-03-07
Restaurant,S - Significant,2022-03-07
Restaurant,S - Significant,2023-01-20
Restaurant,S - Significant,2023-08-21
Food Store (Convenience/Variety),S - Significant,2023-07-14
Food Caterer,S - Significant,2022-04-11
Bake Shop,S - Significant,2022-06-03
Bake Shop,S - Significant,2023-10-17
Bakery,S - Significant,2023-08-29
Restaurant,S - Significant,2022-10-13
Restaurant,S - Significant,2022-10-13
Restaurant,S - Significant,2023-01-16
Restaurant,S - Significant,2023-01-16
Restaurant,S - Significant,2023-07-25
Food Take Out,S - Significant,2023-06-02
Restaurant,S - Significant,2022-05-24
Restaurant,S - Significant,2023-04-28
Restaurant,S - Significant,2022-07-15
Restaurant,S - Significant,2022-07-15
Restaurant,S - Significant,2023-03-07
Restaurant,S - Significant,2023-03-07
Restaurant,S - Significant,2023-03-29
Food Take Out,S - Significant,2022-10-19
Food Take Out,S - Significant,2023-12-14
Food Take Out,S - Significant,2023-12-14
Restaurant,S - Significant,2022-12-20
Restaurant,S - Significant,2022-12-20
Refreshment Stand (Stationary),S - Significant,2023-02-17
Food Take Out,S - Significant,2023-04-05
Food Take Out,S - Significant,2022-12-21
Food Take Out,S - Significant,2022-12-21
Food Take Out,S - Significant,2023-10-19
Restaurant,C - Crucial,2022-12-08
Restaurant,S - Significant,2022-12-08
Restaurant,S - Significant,2022-12-08
Restaurant,S - Significant,2022-12-08
Restaurant,S - Significant,2022-12-08
Restaurant,S - Significant,2022-12-08
Restaurant,S - Significant,2022-12-08
Cocktail Bar / Beverage Room,S - Significant,2022-10-27
Cocktail Bar / Beverage Room,S - Significant,2022-10-27
Restaurant,S - Significant,2022-10-05
Restaurant,S - Significant,2022-08-25
Restaurant,S - Significant,2022-11-08
Restaurant,S - Significant,2022-11-08
Restaurant,C - Crucial,2022-11-08
Restaurant,S - Significant,2023-07-24
Restaurant,S - Significant,2023-07-24
Restaurant,S - Significant,2023-07-24
Restaurant,C - Crucial,2023-07-24
Restaurant,S - Significant,2023-07-24
Restaurant,S - Significant,2023-04-28
Bakery,S - Significant,2022-08-31
Food Take Out,S - Significant,2022-08-17
Food Take Out,C - Crucial,2022-08-17
Restaurant,S - Significant,2022-10-13
Restaurant,S - Significant,2023-03-01
Restaurant,S - Significant,2023-09-15
Restaurant,S - Significant,2022-07-29
Restaurant,S - Significant,2023-10-23
Restaurant,S - Significant,2023-01-31
Restaurant,S - Significant,2022-10-14
Restaurant,S - Significant,2023-02-16
Restaurant,S - Significant,2023-05-16
Restaurant,S - Significant,2023-09-29
Restaurant,S - Significant,2023-09-29
Food Take Out,C - Crucial,2022-04-22
Food Take Out,S - Significant,2022-04-22
Food Take Out,S - Significant,2022-04-22
Food Take Out,S - Significant,2022-04-22
Food Take Out,S - Significant,2022-04-22
Food Take Out,C - Crucial,2022-04-22
Food Take Out,S - Significant,2022-08-12
Food Take Out,S - Significant,2023-02-02
Restaurant,S - Significant,2023-05-01
Restaurant,S - Significant,2023-05-01
Restaurant,S - Significant,2023-08-10
Restaurant,S - Significant,2023-08-10
Restaurant,S - Significant,2023-08-10
Food Take Out,S - Significant,2023-03-15
Food Take Out,S - Significant,2023-05-10
Cocktail Bar / Beverage Room,S - Significant,2023-04-14
Cocktail Bar / Beverage Room,S - Significant,2023-08-16
Mobile Food Preparation Premises,C - Crucial,2022-08-19
Mobile Food Preparation Premises,C - Crucial,2022-08-19
Mobile Food Preparation Premises,C - Crucial,2022-08-19
Mobile Food Preparation Premises,C - Crucial,2023-08-31
Mobile Food Preparation Premises,C - Crucial,2023-08-31
Bakery,S - Significant,2023-02-23
Bakery,S - Significant,2023-02-23
Bakery,S - Significant,2023-02-23
Bakery,S - Significant,2023-08-01
Bakery,S - Significant,2023-08-01
Bakery,S - Significant,2023-08-01
Bakery,S - Significant,2023-08-01
Bakery,S - Significant,2023-12-14
Bakery,S - Significant,2023-12-14
Bakery,S - Significant,2023-12-14
Restaurant,S - Significant,2023-12-07
Restaurant,S - Significant,2023-12-07
Restaurant,S - Significant,2023-12-07
Child Care - Catered,S - Significant,2024-01-08
Restaurant,C - Crucial,2022-06-03
Restaurant,C - Crucial,2022-06-03
Restaurant,S - Significant,2023-04-24
Restaurant,S - Significant,2023-09-08
Restaurant,S - Significant,2022-10-03
Restaurant,S - Significant,2023-06-29
Restaurant,S - Significant,2023-06-29
Restaurant,C - Crucial,2023-12-04
Restaurant,S - Significant,2023-12-04
Restaurant,S - Significant,2023-12-04
Restaurant,S - Significant,2023-12-04
Restaurant,S - Significant,2023-12-04
Restaurant,S - Significant,2023-12-04
Restaurant,S - Significant,2023-12-04
Restaurant,S - Significant,2023-12-11
Restaurant,S - Significant,2023-12-11
Restaurant,S - Significant,2023-12-11
Restaurant,C - Crucial,2023-12-11
Restaurant,S - Significant,2023-12-22
Food Take Out,S - Significant,2023-03-22
Food Take Out,S - Significant,2023-05-16
Restaurant,S - Significant,2023-04-04
Restaurant,S - Significant,2023-04-04
Restaurant,S - Significant,2023-02-28
Restaurant,S - Significant,2023-02-28
Restaurant,C - Crucial,2023-10-11
Restaurant,S - Significant,2024-01-03
Restaurant,S - Significant,2022-01-18
Restaurant,S - Significant,2022-12-15
Restaurant,S - Significant,2023-09-28
Restaurant,S - Significant,2023-09-28
Restaurant,C - Crucial,2023-09-28
Restaurant,S - Significant,2023-09-28
Restaurant,S - Significant,2023-09-28
Restaurant,S - Significant,2023-09-28
Restaurant,S - Significant,2022-07-29
Restaurant,S - Significant,2022-07-29
Restaurant,S - Significant,2022-07-29
Restaurant,S - Significant,2023-03-03
Restaurant,S - Significant,2023-06-21
Restaurant,S - Significant,2023-10-02
Restaurant,S - Significant,2023-10-02
Restaurant,S - Significant,2023-07-20
Restaurant,S - Significant,2023-07-20
Restaurant,S - Significant,2023-04-26
Cafeteria - Public Access,S - Significant,2022-11-30
Cafeteria - Public Access,S - Significant,2023-04-18
Cafeteria - Public Access,S - Significant,2023-04-18
Cafeteria - Public Access,S - Significant,2023-12-08
Restaurant,S - Significant,2023-11-30
Food Store (Convenience/Variety),S - Significant,2022-10-03
Food Store (Convenience/Variety),C - Crucial,2022-10-03
Food Store (Convenience/Variety),S - Significant,2022-10-03
Food Store (Convenience/Variety),C - Crucial,2022-10-03
Food Store (Convenience/Variety),C - Crucial,2023-06-26
Food Store (Convenience/Variety),S - Significant,2023-06-26
Food Store (Convenience/Variety),S - Significant,2022-09-22
Bakery,S - Significant,2022-06-06
Bakery,S - Significant,2022-06-06
Restaurant,S - Significant,2022-08-26
Restaurant,S - Significant,2023-07-19
Supermarket,S - Significant,2023-06-09
Supermarket,S - Significant,2023-06-09
Food Court Vendor,S - Significant,2022-05-30
Restaurant,S - Significant,2023-12-12
Restaurant,S - Significant,2023-06-14
Food Take Out,S - Significant,2023-06-02
Restaurant,S - Significant,2022-11-14
Restaurant,S - Significant,2023-03-23
Restaurant,S - Significant,2023-03-23
Restaurant,S - Significant,2023-03-23
Restaurant,S - Significant,2023-10-11
Restaurant,S - Significant,2023-09-06
Restaurant,C - Crucial,2022-05-16
Restaurant,S - Significant,2022-05-16
Food Take Out,C - Crucial,2023-07-23
Food Take Out,C - Crucial,2023-07-23
Food Take Out,S - Significant,2023-07-23
Food Take Out,S - Significant,2023-07-29
Food Take Out,S - Significant,2023-07-29
Student Nutrition Site,S - Significant,2023-05-15
Bake Shop,S - Significant,2022-12-15
Supermarket,S - Significant,2022-10-04
Supermarket,S - Significant,2023-02-24
Supermarket,S - Significant,2023-08-30
Supermarket,S - Significant,2023-08-30
Supermarket,S - Significant,2023-08-30
Boarding / Lodging Home - Kitchen,S - Significant,2022-10-07
Refreshment Stand (Stationary),S - Significant,2023-10-02
Food Take Out,S - Significant,2022-09-08
Food Take Out,S - Significant,2022-09-08
Food Take Out,S - Significant,2023-07-21
Food Take Out,S - Significant,2023-07-21
Food Take Out,S - Significant,2023-07-21
Food Take Out,S - Significant,2023-01-05
Restaurant,S - Significant,2023-06-19
Restaurant,S - Significant,2023-06-19
Restaurant,S - Significant,2023-11-02
Bakery,S - Significant,2023-09-28
Restaurant,S - Significant,2022-06-14
Restaurant,S - Significant,2022-06-14
Restaurant,S - Significant,2022-03-16
Restaurant,S - Significant,2022-03-16
Restaurant,S - Significant,2023-09-26
Bake Shop,S - Significant,2022-07-22
Bake Shop,S - Significant,2023-05-18
Food Take Out,S - Significant,2023-07-07
Nursing Home / Home for the Aged,S - Significant,2022-12-29
Nursing Home / Home for the Aged,S - Significant,2022-12-29
Nursing Home / Home for the Aged,S - Significant,2024-01-11
Restaurant,S - Significant,2023-04-28
Restaurant,S - Significant,2023-04-28
Restaurant,S - Significant,2023-08-11
Restaurant,S - Significant,2023-08-11
Restaurant,C - Crucial,2023-08-11
Restaurant,C - Crucial,2023-08-11
Restaurant,S - Significant,2023-12-06
Cafeteria - Public Access,S - Significant,2023-04-20
Food Take Out,S - Significant,2022-07-26
Food Take Out,S - Significant,2022-07-26
Food Take Out,C - Crucial,2022-07-26
Supermarket,S - Significant,2023-12-05
Supermarket,S - Significant,2023-12-05
Food Court Vendor,S - Significant,2023-09-08
Child Care - Catered,S - Significant,2022-02-08
Cafeteria - Private Access,S - Significant,2023-04-06
Cocktail Bar / Beverage Room,S - Significant,2022-12-08
Food Court Vendor,S - Significant,2023-11-01
Food Take Out,S - Significant,2022-05-25
Food Take Out,S - Significant,2022-05-25
Food Take Out,S - Significant,2022-05-25
Food Take Out,S - Significant,2022-05-25
Food Take Out,S - Significant,2023-01-06
Food Take Out,S - Significant,2023-01-06
Food Take Out,C - Crucial,2023-01-06
Food Take Out,S - Significant,2023-01-06
Food Take Out,S - Significant,2023-01-06
Food Take Out,S - Significant,2023-05-19
Food Take Out,S - Significant,2023-05-19
Food Take Out,S - Significant,2023-05-19
Restaurant,S - Significant,2022-06-29
Restaurant,S - Significant,2023-05-24
Restaurant,S - Significant,2023-05-24
Restaurant,S - Significant,2023-05-24
Restaurant,S - Significant,2023-05-24
Restaurant,S - Significant,2023-07-13
Restaurant,S - Significant,2023-07-13
Restaurant,S - Significant,2022-12-21
Restaurant,S - Significant,2022-09-15
Banquet Facility,S - Significant,2022-05-13
Restaurant,S - Significant,2022-04-29
Restaurant,S - Significant,2022-04-29
Restaurant,S - Significant,2022-11-09
Restaurant,S - Significant,2022-11-09
Restaurant,S - Significant,2022-12-12
Restaurant,S - Significant,2022-12-12
Food Take Out,S - Significant,2023-03-29
Food Take Out,S - Significant,2023-03-29
Other Educational Facility Food Services,S - Significant,2022-11-24
Commissary,S - Significant,2022-07-28
Commissary,S - Significant,2022-07-28
Commissary,S - Significant,2022-07-28
Commissary,S - Significant,2022-11-23
Commissary,S - Significant,2022-11-23
Commissary,S - Significant,2022-11-23
Commissary,S - Significant,2023-06-28
Commissary,S - Significant,2023-06-28
Commissary,C - Crucial,2024-01-11
Food Court Vendor,C - Crucial,2022-04-11
Butcher Shop,S - Significant,2023-06-05
Butcher Shop,S - Significant,2023-06-05
Butcher Shop,S - Significant,2022-06-07
Butcher Shop,S - Significant,2023-02-15
Butcher Shop,S - Significant,2023-05-26
Butcher Shop,S - Significant,2023-07-05
Food Take Out,S - Significant,2022-11-28
Food Take Out,S - Significant,2022-11-28
Food Take Out,S - Significant,2022-11-28
Food Take Out,C - Crucial,2022-11-28
Food Take Out,S - Significant,2023-04-11
Food Take Out,S - Significant,2023-04-11
Food Take Out,S - Significant,2023-04-11
Bake Shop,C - Crucial,2023-05-25
Bake Shop,S - Significant,2023-05-25
Bake Shop,C - Crucial,2023-09-11
Bake Shop,S - Significant,2023-09-11
Restaurant,S - Significant,2022-06-14
Restaurant,S - Significant,2023-03-24
Restaurant,S - Significant,2022-05-10
Restaurant,S - Significant,2023-08-10
Restaurant,S - Significant,2023-08-10
Food Processing Plant,S - Significant,2022-11-10
Restaurant,S - Significant,2023-03-10
Restaurant,S - Significant,2022-11-04
Restaurant,S - Significant,2022-11-04
Restaurant,S - Significant,2022-11-18
Restaurant,S - Significant,2022-11-18
Restaurant,S - Significant,2022-11-18
Restaurant,C - Crucial,2022-11-18
Restaurant,S - Significant,2022-11-18
Restaurant,C - Crucial,2023-03-03
Restaurant,S - Significant,2023-06-27
Restaurant,S - Significant,2023-06-27
Restaurant,C - Crucial,2023-06-27
Restaurant,S - Significant,2023-06-27
Restaurant,S - Significant,2023-12-06
Restaurant,S - Significant,2023-12-06
Restaurant,C - Crucial,2023-12-06
Restaurant,S - Significant,2023-12-06
Restaurant,C - Crucial,2022-06-17
Restaurant,S - Significant,2022-06-17
Restaurant,S - Significant,2022-06-17
Restaurant,C - Crucial,2022-06-17
Restaurant,S - Significant,2022-06-17
Restaurant,S - Significant,2022-06-17
Restaurant,S - Significant,2023-04-12
Restaurant,S - Significant,2023-05-25
Restaurant,S - Significant,2023-05-25
Restaurant,S - Significant,2023-11-10
Restaurant,S - Significant,2023-11-10
Food Processing Plant,S - Significant,2023-03-28
Restaurant,S - Significant,2022-09-01
Restaurant,S - Significant,2022-08-18
Restaurant,S - Significant,2022-08-18
Restaurant,S - Significant,2022-08-18
Restaurant,S - Significant,2023-12-22
Restaurant,S - Significant,2022-04-20
Bakery,S - Significant,2022-12-05
Restaurant,S - Significant,2022-12-06
Restaurant,C - Crucial,2022-12-06
Restaurant,S - Significant,2022-12-06
Restaurant,C - Crucial,2022-12-06
Restaurant,S - Significant,2022-12-06
Restaurant,S - Significant,2022-05-11
Restaurant,C - Crucial,2022-05-11
Restaurant,S - Significant,2022-05-11
Restaurant,S - Significant,2023-01-18
Restaurant,S - Significant,2023-01-18
Restaurant,S - Significant,2023-01-18
Restaurant,S - Significant,2023-01-18
Restaurant,S - Significant,2023-08-23
Restaurant,S - Significant,2023-08-23
Restaurant,S - Significant,2023-10-02
Restaurant,S - Significant,2023-11-09
Restaurant,S - Significant,2023-11-09
Food Processing Plant,S - Significant,2023-10-02
Restaurant,S - Significant,2022-08-29
Private Club,S - Significant,2023-03-10
Private Club,S - Significant,2023-03-10
Restaurant,S - Significant,2022-09-07
Food Take Out,S - Significant,2024-01-12
Restaurant,S - Significant,2022-11-15
Food Take Out,S - Significant,2022-11-29
Restaurant,S - Significant,2022-10-21
Restaurant,S - Significant,2023-06-19
Restaurant,C - Crucial,2023-06-19
Restaurant,S - Significant,2023-06-19
Supermarket,S - Significant,2022-12-01
Supermarket,S - Significant,2023-04-20
Supermarket,S - Significant,2023-04-20
Supermarket,C - Crucial,2023-09-07
Supermarket,C - Crucial,2023-09-07
Supermarket,S - Significant,2023-09-07
Restaurant,S - Significant,2022-01-27
Restaurant,S - Significant,2023-08-24
Food Take Out,S - Significant,2023-05-17
Bakery,C - Crucial,2023-02-16
Bakery,S - Significant,2023-02-16
Food Caterer,S - Significant,2023-11-10
Restaurant,S - Significant,2022-10-03
Restaurant,S - Significant,2023-07-21
Food Take Out,S - Significant,2022-07-04
Food Take Out,S - Significant,2023-11-03
Food Take Out,S - Significant,2023-03-06
Restaurant,S - Significant,2022-06-07
Restaurant,S - Significant,2022-06-07
Restaurant,S - Significant,2022-12-13
Food Take Out,S - Significant,2023-06-26
Food Take Out,S - Significant,2023-06-26
Commissary,S - Significant,2022-08-19
Commissary,S - Significant,2022-11-01
Food Caterer,S - Significant,2022-11-03
Food Caterer,S - Significant,2023-08-18
Mobile Food Preparation Premises,S - Significant,2023-06-15
Mobile Food Preparation Premises,S - Significant,2023-06-15
Restaurant,S - Significant,2023-09-28
Food Processing Plant,S - Significant,2022-07-15
Restaurant,S - Significant,2022-06-17
Restaurant,S - Significant,2022-06-17
Restaurant,S - Significant,2023-02-24
Restaurant,S - Significant,2023-02-24
Restaurant,S - Significant,2023-02-24
Restaurant,S - Significant,2023-05-16
Restaurant,S - Significant,2023-09-21
Restaurant,S - Significant,2023-01-16
Restaurant,S - Significant,2023-01-16
Restaurant,S - Significant,2023-01-16
Food Store (Convenience/Variety),S - Significant,2022-12-07
Food Take Out,C - Crucial,2022-07-12
Food Take Out,S - Significant,2022-07-12
Food Take Out,S - Significant,2022-07-12
Food Take Out,S - Significant,2022-07-12
Food Take Out,S - Significant,2022-07-12
Food Take Out,S - Significant,2023-08-16
Restaurant,C - Crucial,2022-05-06
Restaurant,S - Significant,2022-05-06
Restaurant,S - Significant,2023-06-20
Restaurant,S - Significant,2023-06-20
Restaurant,S - Significant,2022-08-08
Food Take Out,S - Significant,2023-04-20
Food Take Out,C - Crucial,2023-04-20
Food Take Out,S - Significant,2022-09-08
Food Take Out,S - Significant,2023-09-01
Food Store (Convenience/Variety),S - Significant,2023-11-01
Food Store (Convenience/Variety),S - Significant,2022-11-03
Restaurant,S - Significant,2023-03-13
Restaurant,S - Significant,2023-08-15
Restaurant,S - Significant,2023-11-29
Restaurant,S - Significant,2023-05-26
Restaurant,S - Significant,2023-11-01
Restaurant,S - Significant,2022-12-08
Restaurant,S - Significant,2022-12-08
Restaurant,S - Significant,2022-12-08
Restaurant,S - Significant,2023-11-22
Restaurant,S - Significant,2023-11-22
Food Take Out,S - Significant,2022-10-13
Restaurant,S - Significant,2022-11-09
Restaurant,S - Significant,2023-12-12
Restaurant,S - Significant,2023-03-27
Restaurant,S - Significant,2023-07-10
Restaurant,S - Significant,2023-04-19
Restaurant,S - Significant,2023-06-27
Restaurant,S - Significant,2023-06-27
Restaurant,C - Crucial,2022-12-01
Restaurant,C - Crucial,2022-12-01
Restaurant,S - Significant,2022-12-01
Restaurant,S - Significant,2022-12-01
Restaurant,S - Significant,2023-12-15
Restaurant,C - Crucial,2023-12-15
Restaurant,S - Significant,2023-08-11
Restaurant,S - Significant,2023-10-23
Restaurant,S - Significant,2023-10-23
Restaurant,S - Significant,2023-03-16
Restaurant,S - Significant,2023-03-16
Restaurant,S - Significant,2022-07-06
Restaurant,S - Significant,2023-05-08
Child Care - Catered,S - Significant,2023-09-18
Food Take Out,S - Significant,2022-08-03
Food Take Out,C - Crucial,2022-08-03
Food Take Out,S - Significant,2022-08-03
Food Take Out,S - Significant,2022-12-12
Food Take Out,S - Significant,2022-12-12
Food Take Out,S - Significant,2023-04-19
Restaurant,S - Significant,2023-02-07
Restaurant,S - Significant,2023-02-07
Restaurant,S - Significant,2023-02-07
Restaurant,S - Significant,2023-05-03
Restaurant,C - Crucial,2023-05-03
Restaurant,S - Significant,2023-05-03
Restaurant,S - Significant,2023-05-03
Restaurant,S - Significant,2023-03-07
Food Store (Convenience/Variety),S - Significant,2023-03-30
Restaurant,S - Significant,2023-07-04
Food Take Out,S - Significant,2022-04-25
Restaurant,S - Significant,2023-04-20
Restaurant,S - Significant,2023-04-20
Restaurant,S - Significant,2023-06-16
Restaurant,S - Significant,2023-01-13
Restaurant,S - Significant,2023-01-13
Restaurant,S - Significant,2023-06-15
Restaurant,S - Significant,2023-01-31
Restaurant,S - Significant,2022-05-26
Restaurant,S - Significant,2023-07-24
Restaurant,S - Significant,2022-07-06
Restaurant,S - Significant,2022-07-06
Restaurant,S - Significant,2022-07-06
Restaurant,S - Significant,2022-07-06
Restaurant,C - Crucial,2022-07-06
Restaurant,S - Significant,2022-07-06
Restaurant,S - Significant,2022-07-06
Restaurant,S - Significant,2022-07-06
Restaurant,C - Crucial,2022-07-06
Restaurant,S - Significant,2022-07-06
Restaurant,S - Significant,2023-03-03
Restaurant,S - Significant,2023-03-03
Restaurant,S - Significant,2023-03-03
Restaurant,S - Significant,2023-06-14
Restaurant,C - Crucial,2023-03-03
Restaurant,S - Significant,2023-03-03
Restaurant,S - Significant,2023-03-03
Restaurant,S - Significant,2023-03-03
Restaurant,S - Significant,2023-12-18
Restaurant,S - Significant,2023-12-18
Restaurant,S - Significant,2023-02-27
Restaurant,C - Crucial,2022-06-08
Restaurant,S - Significant,2023-04-13
Restaurant,S - Significant,2023-04-13
Restaurant,C - Crucial,2023-04-13
Restaurant,S - Significant,2023-05-31
Restaurant,S - Significant,2023-05-31
Restaurant,S - Significant,2023-10-03
Restaurant,S - Significant,2023-04-17
Restaurant,S - Significant,2023-04-17
Restaurant,S - Significant,2023-04-17
Restaurant,S - Significant,2023-08-16
Restaurant,S - Significant,2023-08-16
Restaurant,S - Significant,2023-08-16
Restaurant,S - Significant,2023-08-16
Restaurant,S - Significant,2023-11-22
Restaurant,S - Significant,2023-11-22
Food Take Out,S - Significant,2022-09-06
Food Take Out,S - Significant,2023-04-25
Food Take Out,S - Significant,2023-10-03
Food Caterer,S - Significant,2023-08-09
Food Caterer,S - Significant,2023-08-09
Food Processing Plant,C - Crucial,2022-04-25
Food Processing Plant,C - Crucial,2022-04-25
Food Processing Plant,S - Significant,2022-04-25
Food Processing Plant,S - Significant,2022-04-25
Food Processing Plant,C - Crucial,2022-12-01
Food Processing Plant,S - Significant,2022-12-01
Food Processing Plant,C - Crucial,2023-04-05
Food Processing Plant,S - Significant,2023-04-05
Food Processing Plant,S - Significant,2023-04-05
Food Processing Plant,S - Significant,2023-04-05
Food Processing Plant,S - Significant,2023-04-05
Food Processing Plant,S - Significant,2023-04-05
Food Processing Plant,S - Significant,2023-07-19
Food Processing Plant,C - Crucial,2023-07-19
Food Processing Plant,S - Significant,2023-07-19
Food Processing Plant,S - Significant,2023-12-28
Food Store (Convenience/Variety),S - Significant,2022-09-16
Food Store (Convenience/Variety),S - Significant,2022-09-16
Food Store (Convenience/Variety),S - Significant,2023-03-16
Restaurant,S - Significant,2023-08-18
Restaurant,S - Significant,2024-01-04
Restaurant,C - Crucial,2023-04-19
Restaurant,S - Significant,2023-04-19
Food Court Vendor,C - Crucial,2023-05-29
Food Court Vendor,S - Significant,2023-05-29
Food Court Vendor,S - Significant,2023-05-29
Cafeteria - Private Access,S - Significant,2022-11-03
Food Take Out,S - Significant,2023-03-30
Food Take Out,S - Significant,2023-03-30
Bake Shop,S - Significant,2023-06-30
Restaurant,S - Significant,2023-05-11
Restaurant,S - Significant,2023-05-11
Restaurant,S - Significant,2023-05-11
Restaurant,S - Significant,2023-05-11
Restaurant,S - Significant,2023-10-17
Restaurant,S - Significant,2023-10-17
Restaurant,S - Significant,2023-10-17
Restaurant,S - Significant,2022-08-09
Restaurant,S - Significant,2022-12-06
Restaurant,S - Significant,2023-07-11
Restaurant,S - Significant,2023-12-27
Food Take Out,S - Significant,2022-06-28
Food Caterer,S - Significant,2023-03-21
Restaurant,S - Significant,2022-07-12
Restaurant,S - Significant,2023-04-06
Restaurant,S - Significant,2023-04-06
Restaurant,S - Significant,2023-04-06
Restaurant,C - Crucial,2023-04-06
Restaurant,S - Significant,2023-04-06
Restaurant,C - Crucial,2023-08-11
Restaurant,S - Significant,2023-08-11
Restaurant,S - Significant,2023-08-11
Restaurant,S - Significant,2023-08-11
Restaurant,C - Crucial,2023-11-27
Restaurant,S - Significant,2023-11-27
Restaurant,S - Significant,2023-11-27
Restaurant,S - Significant,2023-11-27
Restaurant,S - Significant,2023-11-27
Bake Shop,S - Significant,2023-04-06
Fish Shop,S - Significant,2022-06-15
Fish Shop,S - Significant,2022-06-15
Restaurant,S - Significant,2022-07-12
Restaurant,S - Significant,2023-01-23
Restaurant,S - Significant,2022-03-25
Restaurant,S - Significant,2023-01-12
Restaurant,S - Significant,2022-03-18
Restaurant,S - Significant,2023-03-29
Restaurant,S - Significant,2023-06-22
Restaurant,C - Crucial,2023-10-26
Restaurant,S - Significant,2023-10-26
Restaurant,S - Significant,2023-10-26
Restaurant,S - Significant,2023-10-26
Restaurant,S - Significant,2023-10-26
Restaurant,C - Crucial,2023-10-26
Restaurant,C - Crucial,2023-10-26
Restaurant,S - Significant,2023-10-26
Restaurant,S - Significant,2022-04-20
Restaurant,S - Significant,2022-06-09
Restaurant,S - Significant,2022-06-09
Restaurant,S - Significant,2023-05-10
Restaurant,S - Significant,2023-05-10
Restaurant,S - Significant,2023-05-10
Restaurant,C - Crucial,2023-05-10
